Text_ID,Mobile_Tech_Flag_Predicted,Brands_Entity_Identified,Sentiment_Identified
article_4104,0,,
article_4105,0,,
article_4106,0,,
article_4107,0,,
article_4108,0,,
article_4109,0,,
article_4110,0,,
article_4111,0,,
article_4112,0,,
article_4113,0,,
article_4114,0,,
article_4115,0,,
article_4116,0,,
article_4117,0,,
article_4118,0,,
article_4119,0,,
article_4120,0,,
article_4121,0,,
article_4123,0,,
article_4124,0,,
article_4125,0,,
article_4126,0,,
article_4127,0,,
article_4128,0,,
article_4129,0,,
article_4130,0,,
article_4131,0,,
article_4132,0,,
article_4133,0,,
article_4134,0,,
article_4135,0,,
article_4136,0,,
article_4137,0,,
article_4138,0,,
article_4139,0,,
article_4140,0,,
article_4141,0,,
article_4142,0,,
article_4143,0,,
article_4144,0,,
article_4145,0,,
article_4146,0,,
article_4148,0,,
article_4149,0,,
article_4150,0,,
article_4178,0,,
article_4181,0,,
article_4188,0,,
article_4201,0,,
article_4202,0,,
article_4207,0,,
article_4208,0,,
article_4210,0,,
tweet_4001,0,,
tweet_4002,0,,
tweet_4003,0,,
tweet_4004,0,,
tweet_4005,0,,
tweet_4006,0,,
tweet_4007,0,,
tweet_4008,0,,
tweet_4009,0,,
tweet_4010,0,,
tweet_4011,0,,
tweet_4012,0,,
tweet_4013,0,,
tweet_4014,0,,
tweet_4015,0,,
tweet_4016,0,,
tweet_4017,0,,
tweet_4018,0,,
tweet_4019,0,,
tweet_4020,0,,
tweet_4021,0,,
tweet_4022,0,,
tweet_4023,0,,
tweet_4024,0,,
tweet_4025,0,,
tweet_4026,0,,
tweet_4027,0,,
tweet_4028,0,,
tweet_4029,0,,
tweet_4030,0,,
tweet_4031,0,,
tweet_4032,0,,
tweet_4033,0,,
tweet_4034,0,,
tweet_4035,0,,
tweet_4036,0,,
tweet_4037,0,,
tweet_4038,0,,
tweet_4039,0,,
tweet_4040,0,,
tweet_4041,0,,
tweet_4042,0,,
tweet_4043,0,,
tweet_4044,0,,
tweet_4045,0,,
tweet_4046,0,,
tweet_4047,0,,
tweet_4048,0,,
tweet_4049,0,,
tweet_4050,0,,
tweet_4051,0,,
tweet_4052,0,,
tweet_4053,0,,
tweet_4054,0,,
tweet_4055,0,,
tweet_4056,0,,
tweet_4057,0,,
tweet_4058,0,,
tweet_4059,0,,
tweet_4060,0,,
tweet_4061,0,,
tweet_4062,0,,
tweet_4063,0,,
tweet_4064,0,,
tweet_4065,0,,
tweet_4066,0,,
tweet_4067,0,,
tweet_4068,0,,
tweet_4069,0,,
tweet_4070,0,,
tweet_4071,0,,
tweet_4072,0,,
tweet_4073,0,,
tweet_4074,0,,
tweet_4075,0,,
tweet_4076,0,,
tweet_4077,0,,
tweet_4078,0,,
tweet_4079,0,,
tweet_4080,0,,
tweet_4081,0,,
tweet_4082,0,,
tweet_4083,0,,
tweet_4084,0,,
tweet_4085,0,,
tweet_4086,0,,
tweet_4087,0,,
tweet_4088,0,,
tweet_4089,0,,
tweet_4090,0,,
tweet_4091,0,,
tweet_4092,0,,
tweet_4093,0,,
tweet_4094,0,,
tweet_4095,0,,
tweet_4096,0,,
tweet_4097,0,,
tweet_4098,0,,
tweet_4099,0,,
tweet_4100,0,,
tweet_4101,0,,
tweet_4102,0,,
tweet_4103,0,,
tweet_4104,0,,
tweet_4105,0,,
tweet_4106,0,,
tweet_4107,0,,
tweet_4108,0,,
tweet_4109,0,,
tweet_4110,0,,
tweet_4111,0,,
tweet_4112,0,,
tweet_4113,0,,
tweet_4114,0,,
tweet_4115,0,,
tweet_4116,0,,
tweet_4117,0,,
tweet_4118,0,,
tweet_4119,0,,
tweet_4120,0,,
tweet_4121,0,,
tweet_4122,0,,
tweet_4123,0,,
tweet_4124,0,,
tweet_4125,0,,
tweet_4126,0,,
tweet_4127,0,,
tweet_4128,0,,
tweet_4129,0,,
tweet_4130,0,,
tweet_4131,0,,
tweet_4132,0,,
tweet_4133,0,,
tweet_4134,0,,
tweet_4135,0,,
tweet_4136,0,,
tweet_4137,0,,
tweet_4138,0,,
tweet_4139,0,,
tweet_4140,0,,
tweet_4141,0,,
tweet_4142,0,,
tweet_4143,0,,
tweet_4144,0,,
tweet_4145,0,,
tweet_4146,0,,
tweet_4147,0,,
tweet_4148,0,,
tweet_4149,0,,
tweet_4150,0,,
tweet_4208,0,,
