Text_ID,Mobile_Tech_Flag_Predicted,Headline_Generated_Eng_Lang
tweet_4013,0,
tweet_4014,0,
tweet_4015,0,
tweet_4016,0,
tweet_4017,0,
tweet_4018,0,
tweet_4019,0,
tweet_4020,0,
tweet_4021,0,
tweet_4022,0,
tweet_4023,0,
tweet_4024,0,
tweet_4025,0,
tweet_4026,0,
tweet_4027,0,
tweet_4028,0,
tweet_4029,0,
tweet_4030,0,
tweet_4031,0,
tweet_4032,0,
tweet_4033,0,
tweet_4034,0,
tweet_4035,0,
tweet_4036,0,
tweet_4037,0,
tweet_4038,0,
tweet_4039,0,
tweet_4040,0,
tweet_4041,0,
tweet_4042,0,
tweet_4043,0,
tweet_4044,0,
tweet_4045,0,
tweet_4046,0,
tweet_4047,0,
tweet_4048,0,
tweet_4049,0,
tweet_4050,0,
tweet_4051,0,
tweet_4052,0,
tweet_4053,0,
tweet_4054,0,
tweet_4055,0,
tweet_4056,0,
tweet_4057,0,
tweet_4058,0,
tweet_4059,0,
tweet_4060,0,
tweet_4061,0,
tweet_4062,0,
tweet_4063,0,
tweet_4064,0,
tweet_4065,0,
tweet_4066,0,
tweet_4067,0,
tweet_4068,0,
tweet_4069,0,
tweet_4070,0,
tweet_4071,0,
tweet_4072,0,
tweet_4073,0,
tweet_4074,0,
tweet_4075,0,
tweet_4076,0,
tweet_4077,0,
tweet_4078,0,
tweet_4079,0,
tweet_4080,0,
tweet_4081,0,
tweet_4082,0,
tweet_4083,0,
tweet_4084,0,
tweet_4085,0,
tweet_4086,0,
tweet_4087,0,
tweet_4088,0,
tweet_4089,0,
tweet_4090,0,
tweet_4091,0,
tweet_4092,0,
tweet_4093,0,
tweet_4094,0,
tweet_4095,0,
tweet_4096,0,
tweet_4097,0,
tweet_4098,0,
tweet_4099,0,
tweet_4100,0,
tweet_4101,0,
tweet_4102,0,
tweet_4103,0,
tweet_4104,0,
tweet_4105,0,
tweet_4106,0,
tweet_4107,0,
tweet_4108,0,
tweet_4109,0,
tweet_4110,0,
tweet_4111,0,
tweet_4112,0,
tweet_4113,0,
tweet_4114,0,
tweet_4115,0,
tweet_4116,0,
tweet_4117,0,
tweet_4118,0,
tweet_4119,0,
tweet_4120,0,
tweet_4121,0,
tweet_4122,0,
tweet_4123,0,
tweet_4124,0,
tweet_4125,0,
tweet_4126,0,
tweet_4127,0,
tweet_4128,0,
tweet_4129,0,
tweet_4130,0,
tweet_4131,0,
tweet_4132,0,
tweet_4133,0,
tweet_4134,0,
tweet_4135,0,
tweet_4136,0,
tweet_4137,0,
tweet_4138,0,
tweet_4139,0,
tweet_4140,0,
tweet_4141,0,
tweet_4142,0,
tweet_4143,0,
tweet_4144,0,
tweet_4145,0,
tweet_4146,0,
tweet_4147,0,
tweet_4148,0,
tweet_4149,0,
tweet_4150,0,
tweet_4151,1,"Kodak makes cameras affordable, says Kodak"
tweet_4152,1,"64MP Smartphone Camera Launched in India, Announces Plans To Win 1GB Of RAM, 64MP Camera"
tweet_4153,1,"Google Pixel 5 5G Android Phone Water Resistant Unlocked Smartphone with Night Sight and Ultrawide Lens Just Black with Google Pixel 5 Case, Basically Black"
tweet_4154,1,Smartphone xs xs xs xs xs xs xs xs xs xs xs xs xs xs xs xs xs xs xs xs x
tweet_4155,1,Samsung Galaxy A32 5G and A02s coming to UK soon
tweet_4156,1,"Smartphone shipments in India, starts from 2021"
tweet_4157,1,Realme X7 Pro 5G smartphones are coming soon but will miss this important feature
tweet_4158,1,"Camera Eluga I6 Smartphone with 3 Month No Cost EMI – Rs. 10,999"
tweet_4159,1,World Cancer Day: Watch KL Tower Light Up in Blue and Blue on World Cancer Day
tweet_4160,1,PENDING PAT 5G•WiFi: FASTag & CONDUCT EVENTS OF 10th JANUARY 2021
tweet_4161,1,"11 Pro Smartphones including Samsung Galaxy A32 5G and A32 Pro, Learn How to Download"
tweet_4162,1,"Upgrade / Update acer liquid Z500 6635 to 6.5 Marshmallow, 6,000mAh battery, 6000mAh battery, 6000mAh battery, 6000mAh battery, 6000mAh battery, 6000mAh battery, 6000mAh battery"
tweet_4163,1,"Realme V3 5G launched in India, Priced at Rs. 10999"
tweet_4164,1,Redmi Note 10 Pro: Xiaomi Redmi Note 10 Pro and Redmi Note 10 Pro series: these phones have the best features
tweet_4165,1,Black Shark 4 gaming smartphone smartphones on TENAA certification site
tweet_4166,1,"Xiaomi upcoming 5G smartphone Exposure OLED Snapdragon SM7350 SoC 64MP Rear Cameras, 5X Zoom"
tweet_4167,1,"5G recapes 5G as a Smarter, Safer and more Sustainable Future"
tweet_4168,1,"Video of Nokia 6 with Nokia 6 and 6GB battery, see details here"
tweet_4169,1,Xiaomi patents new patent for smartphone design
tweet_4170,1,"Xiaomi has an 8GB battery phone with 6GB battery Vivo Y31, Learn prices and features"
tweet_4171,1,RealmeX7Pro: Realme X7 Pro vs RealmeX7Pro: All we know about this one
tweet_4172,1,"Samsung Galaxy S20 FE 5G | 6.5G FHD+, 48MP Triple Rear Camera, 6000mAh Battery, 6000mAh Battery, 6000mAh Battery | Galaxy S20 FE 5G | Galaxy S20 FE 5G | Galaxy S20 FE 5G | FAST"
tweet_4173,1,"Xiaomi smartphone with OLED display, 6GB RAM, 5X optical zoom to launch in India"
tweet_4174,1,"Xiaomi y7 3GB Ram 4G and 4GB RAM smartphones, Learn prices and features"
tweet_4175,1,Asus new gaming beast ROG Phone 5G coming soon with Snapdragon 888 and Snapdragon 888 8890 Clocks
tweet_4176,1,"Smartphones On Amazon: Here you know how to bring these 5G phones, you too will be so cheap price"
tweet_4177,1,"Smartphones On Amazon: We did the biggest job deal, India said"
tweet_4178,1,technologicalguruji: Tech World Top 5G and Twitter's new phone drowned
tweet_4179,1,"Smartphones On Amazon: The Damar 5G phone will now be cheaply integrated, this 5G phone with Damar battery - News18 Hindi | DailyHunt"
tweet_4180,1,"5G zooms in, zooms in, zooms in, zooms in."
tweet_4181,1,"Smartphones will run with 4G support My 4G Smartphone Moto E 5G, know how this will work?"
tweet_4182,1,"Oppo Reno 5 Pro 5G Launch in India, Learn Prices and Features"
tweet_4183,1,"In Xiaomi Mi 10i you can get up to ₹2000 cashback, how to know?"
tweet_4184,1,Smartphones On Realme x7 series 18 crore will be 4 smart phones including you!
tweet_4185,1,Let's go! Let' s go! Let's go!
tweet_4186,1,"Xiaomi 5G smartphone launched in India, see what its price will be"
tweet_4187,1,"Fantastic smartphones including OnePlus Nord and OnePlus Nord, see list"
tweet_4188,1,"Cheapest 5G Smartphones in India : Here are the cheapest 5G smartphones, see prices and features"
tweet_4189,1,"Smartphones in India: Mi 10i 5G and Mi 10i 5G smartphones to be launched from today, Learn prices and features"
tweet_4190,1,"Xiaomi 108MP Camera Launches Xiaomi's 108MP Camera Launch, January 5 will be launched"
tweet_4191,1,"The opportunity to buy a 5G phone, know how...!"
tweet_4192,1,"OPPO Reno 5 Pro + 5G Launch, Learn More Features"
tweet_4193,1,ZTE Axon 20 4G Smartphone may launch soon with on screen camera
tweet_4194,1,Best 5g smartphones launched in 2020 : Best 5g smartphones launched in 2020
tweet_4195,1,"Samsung 5G 5G is launching the cheapest 5G smartphone, know prices and features"
tweet_4196,1,"Reno3 Pro 5G, with 5G can be launched soon in India, know prices and features"
tweet_4197,1,108MP camera with Xiaomi's 108MP camera launched Xiaomi' s new 108MP camera
tweet_4198,1,"Smartphones On Amazon: 5, 000 rupees for Indian roots in cheap rupees, know what is special"
tweet_4199,1,Latest\n oppo reno5 Pro+ 5g clock top top top top top top top top top top
tweet_4200,1,5G phones are launching 5G smartphones in India?
tweet_4201,1,Samsung delays launch of foldy phone after bad review
tweet_4202,1,"Nokia makes big announcement, discloses Chinese companies 'cluster' in mobile"
tweet_4203,1,Three Best Mani including 'Gulam Lal Mishra' got arrested including 'Got damaged in 1 v' and '1 v'
tweet_4204,1,BlackBerry wins! Learn how to earn a new BlackBerry phone here
tweet_4205,1,The Chinese companies disclosed that they had paid five rupees for their daughters.
tweet_4206,1,"Nokia launched Samsung Galaxy A71, how to know...!"
tweet_4207,1,"Xiaomu Redmi Note4 vs Redmi Note4: It's all right: Redmi Note4, doesn't work all right: Xiaomi"
tweet_4208,0,
tweet_4209,1,Nokia smartphones imminent as a new Nokia smartphones that have been imminent
tweet_4210,1,OnePlus 6Gb RAM with OnePlus 6 Service: Xiaomi launched Snapdragon 662 Service
